categorie,nature,numero,nom,km,osm_id
TERTIAIRE,Route tertiaire,"","",2.000,w636335139
TERTIAIRE,Route tertiaire,"","",1.979,w862999563
TERTIAIRE,Route tertiaire,"","",1.975,w327757510
TERTIAIRE,Route tertiaire,"","",1.968,w270254189
TERTIAIRE,Route tertiaire,"","",1.967,w269106467
TERTIAIRE,Route tertiaire,"","",1.963,w686844425
TERTIAIRE,Route tertiaire,"","",1.962,w314288555
TERTIAIRE,Route tertiaire,"","",1.927,w331083798
PRINCIPALE,Route primaire,"","",1.921,w501080566
TERTIAIRE,Route tertiaire,"","",1.919,w686653474
TERTIAIRE,Route tertiaire,"","",1.913,w305779851
SECONDAIRE,Route secondaire,"","",1.912,w270874027
SECONDAIRE,Route secondaire,"","",1.903,w571787267
TERTIAIRE,Route tertiaire,"","",1.903,w647828814
TERTIAIRE,Route tertiaire,"","",1.901,w268775993
SECONDAIRE,Route secondaire,"","",1.892,w629123207
TERTIAIRE,Route tertiaire,"","",1.890,w39508538
TERTIAIRE,Route tertiaire,"","",1.883,w328346528
TERTIAIRE,Route tertiaire,"","",1.880,w296994358
PRINCIPALE,Route primaire,"","",1.862,w269783545
TERTIAIRE,Route tertiaire,"","",1.859,w730153450
TERTIAIRE,Route tertiaire,"","",1.847,w328864716
TERTIAIRE,Route tertiaire,"","",1.846,w274151671
TERTIAIRE,Route tertiaire,"","",1.837,w272922392
TERTIAIRE,Route tertiaire,"","",1.833,w302317316
SECONDAIRE,Route secondaire,"","",1.832,w688877182
TERTIAIRE,Route tertiaire,"","",1.832,w330247197
SECONDAIRE,Route secondaire,"","",1.830,w253976204
TERTIAIRE,Route tertiaire,"","",1.823,w272511810
TERTIAIRE,Route tertiaire,"","",1.817,w301165669
PRINCIPALE,Route primaire,"","",1.791,w967929869
TERTIAIRE,Route tertiaire,"","",1.784,w667295835
TERTIAIRE,Route tertiaire,"","",1.784,w705780550
SECONDAIRE,Route secondaire,"","",1.781,w571751101
TERTIAIRE,Route tertiaire,"","",1.778,w693122446
