Route secondaire	NC	17.259	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	17.234	Labé	0.079	0.602	LIKELY_DUPLICATE
Route primaire	N16	17.227	Nzérékoré	0.914	1.000	LIKELY_DUPLICATE
Route secondaire	NC	17.045	Nzérékoré	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	N19	17.040	Nzérékoré	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	17.035	Kankan	0.006	0.082	POTENTIAL_BDRI_MISSING
Route primaire	N24	16.929	Kindia	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.919	Mamou	0.021	0.124	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	16.873	Kindia	0.015	0.125	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	16.869	Kankan	0.008	0.101	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	16.828	Faranah	0.011	0.301	OUTSIDE_BDRI_SCOPE
Route tertiaire	NC	16.818	Kindia	0.083	0.599	LIKELY_DUPLICATE
Route secondaire	N21	16.788	Kindia	0.675	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.781	Faranah	0.229	1.000	LIKELY_DUPLICATE
Voie rapide	N2	16.779	Faranah	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.763	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route secondaire	NC	16.724	Kankan	1.000	1.000	LIKELY_DUPLICATE
Route primaire	N27	16.703	Labé	1.000	1.000	LIKELY_DUPLICATE
Route secondaire	NC	16.690	Kindia	0.015	0.341	UNDETERMINED
Voie rapide	N1	16.647	Kindia	0.990	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.643	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.635	Labé	0.000	0.000	POTENTIAL_BDRI_MISSING
Route primaire	N27	16.615	Labé	1.000	1.000	LIKELY_DUPLICATE
Route tertiaire	NC	16.610	Kankan	0.000	0.000	POTENTIAL_BDRI_MISSING
Route tertiaire	NC	16.506	Kindia	0.004	0.068	POTENTIAL_BDRI_MISSING
